time,N
0,0.762155059
2.116666667,0.743758213
4.083333333,0.688567674
6.266666667,0.653088042
8.1,0.545335085
10.08333333,0.369250986
12.11666667,0.056241787
12.57855096,0
14.13333333,0
16.08333333,0
19.08333333,0
20.41666667,0
22.08333333,0
24.08333333,0
26.08333333,0
29.08333333,0
32.08333333,0
35.08333333,0
38.08333333,0
39.83333333,0
