time,FG
0,12.30333333
2.116666667,16.47333333
4.083333333,24.675
6.266666667,41.15666667
8.1,59.95166667
10.08333333,70.035
12.11666667,66.36833333
14.13333333,60.415
16.08333333,54.10833333
19.08333333,49.075
20.41666667,44.51422
22.08333333,37.4894
24.08333333,31.06202
26.08333333,24.71987667
29.08333333,15.84416667
32.08333333,8.530973333
35.08333333,1.742586667
38.08333333,0
39.83333333,0
