time,P
0,0
2.116666667,0
4.083333333,0
6.266666667,0
8.1,0
10.08333333,0
12.11666667,0
22.08333333,3.39938
24.08333333,4.722586667
26.08333333,6.749346667
29.08333333,9.126036667
32.08333333,12.64006667
35.08333333,16.86776333
38.08333333,19.74704667
39.83333333,20.56318667
