time,Xa
0,1.8500
2.116666667,1.8667
4.083333333,1.9167
6.266666667,2.6167
8.1,3.9333
10.08333333,5.2167
12.11666667,8.5500
12.57855096,9.0809
14.13333333,9.0809
16.08333333,9.0809
19.08333333,9.0809
20.41666667,9.0809
22.08333333,9.0809
24.08333333,9.0809
26.08333333,9.0809
29.08333333,9.0809
32.08333333,9.0809
35.08333333,9.0809
38.08333333,9.0809
39.83333333,9.0809
