time,Xi
0,0
2.116666667,0
4.083333333,0
6.266666667,0
8.1,0
10.08333333,0
12.11666667,0
14.13333333,3.135787211
16.08333333,5.902453878
19.08333333,9.869120545
20.41666667,8.019120545
22.08333333,12.13578721
24.08333333,10.11912054
26.08333333,11.95245388
29.08333333,13.25245388
32.08333333,13.53578721
35.08333333,14.30245388
38.08333333,14.55245388
39.83333333,14.23578721
